photograph,row,column,loc,ratio1,ratio2,date,time,treatment,cw/rw,CFUs lower,MCH lower,NP lower,CFUs middle,MCH middle,NP middle,CFUs upper,MCH upper,NP upper,alternative CFUs lower,alternative MCH lower, alternative NP lower, alternative CFUs middle, alternative MCH middle,alternative NP middle,alternative CFUs upper,alternative MCH upper,alternative NP upper
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,8,"('d', 8)",ratio1,ratio2,date,time,treatment,rotation,0.19056397199236152,0.0,0.19056397199236152,0.12555077004472293,0.0,0.12555077004472293,0.07650369502911446,0.0,0.07650369502911446,0,0,0,0.12555077004472293,0.0,0.12555077004472293,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,7,"('d', 7)",ratio1,ratio2,date,time,treatment,rotation,10.039669000636536,2.5012552514322084,7.538413749204328,6.614514594996874,1.6479217955653676,4.966592799431506,4.030519344174558,1.004152395360498,3.02636694881406,4.6842195388021715,1.167013446314559,3.517206092487612,6.614514594996874,1.6479217955653676,4.966592799431506,4.6842195388021715,1.167013446314559,3.517206092487612
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,6,"('d', 6)",ratio1,ratio2,date,time,treatment,rotation,8.318818586887332,2.3684379376193507,5.950380649267982,5.480753095805134,1.560416713412985,3.920336382392149,3.339667795123767,0.950831638218994,2.388836156904773,3.881320446120057,1.1050447243961408,2.7762757217239162,5.480753095805134,1.560416713412985,3.920336382392149,3.881320446120057,1.1050447243961408,2.7762757217239162
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,5,"('d', 5)",ratio1,ratio2,date,time,treatment,rotation,0.004124761298535964,0.0,0.004124761298535964,0.0027175491351671627,0.0,0.0027175491351671627,0.0016559241348293172,0.0,0.0016559241348293172,0,0,0,0.0027175491351671627,0.0,0.0027175491351671627,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,4,"('d', 4)",ratio1,ratio2,date,time,treatment,rotation,0.0032998090388287713,0.0,0.0032998090388287713,0.0021740393081337303,0.0,0.0021740393081337303,0.0013247393078634538,0.0,0.0013247393078634538,0,0,0,0.0021740393081337303,0.0,0.0021740393081337303,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,3,"('d', 3)",ratio1,ratio2,date,time,treatment,rotation,0.056921705919796305,0.004949713558243157,0.05197199236155315,0.03750217806530685,0.003261058962200595,0.03424111910310625,0.02285175306064458,0.001987108961795181,0.0208646440988494,0.615929123959015,0.05355905425730565,0.5623700697017093,0.03750217806530685,0.003261058962200595,0.03424111910310625,0.615929123959015,0.05355905425730565,0.5623700697017093
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,2,"('d', 2)",ratio1,ratio2,date,time,treatment,rotation,0.007424570337364735,0.0,0.007424570337364735,0.004891588443300893,0.0,0.004891588443300893,0.002980663442692771,0.0,0.002980663442692771,0,0,0,0.004891588443300893,0.0,0.004891588443300893,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,1,"('d', 1)",ratio1,ratio2,date,time,treatment,rotation,1.5451355824315722,0.0,1.5451355824315722,1.0179939060336192,0.0,1.0179939060336192,0.6203091809070622,0.0,0.6203091809070622,0,0,0,1.0179939060336192,0.0,1.0179939060336192,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,12,"('e', 12)",ratio1,ratio2,date,time,treatment,rotation,1.3925194143857416,0.0,1.3925194143857416,0.9174445880324341,0.0,0.9174445880324341,0.5590399879183775,0.0,0.5590399879183775,0,0,0,0.9174445880324341,0.0,0.9174445880324341,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,11,"('e', 11)",ratio1,ratio2,date,time,treatment,rotation,24.74444302991725,6.220140038192234,18.524302991725015,16.30257726186781,4.098064095832082,12.204513166035728,9.933888884841075,2.4971335953226106,7.436755289518464,41.952248518061744,10.545756086887334,31.406492431174414,16.30257726186781,4.098064095832082,12.204513166035728,24.74444302991725,6.220140038192234,18.524302991725015
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,10,"('e', 10)",ratio1,ratio2,date,time,treatment,rotation,0.024748567791215783,0.0,0.024748567791215783,0.016305294811002975,0.0,0.016305294811002975,0.009935544808975903,0.0,0.009935544808975903,0,0,0,0.016305294811002975,0.0,0.016305294811002975,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,9,"('e', 9)",ratio1,ratio2,date,time,treatment,rotation,23.775949077021004,5.216998090388287,18.558950986632716,15.66449672493056,3.4371561461594275,12.227340578771132,9.54507789798315,2.0944128457321205,7.45066505225103,23.775949077021004,5.216998090388287,18.558950986632716,15.66449672493056,3.4371561461594275,12.227340578771132,15.66449672493056,3.4371561461594275,12.227340578771132
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,8,"('e', 8)",ratio1,ratio2,date,time,treatment,rotation,24.065507320178227,3.6586632718014003,20.40684404837683,15.855268674219294,2.410466082893273,13.44480259132602,9.661323772248169,1.4688047075936044,8.192519064654565,15.855268674219294,2.410466082893273,13.44480259132602,15.855268674219294,2.410466082893273,13.44480259132602,11.228270532944695,1.7070265944607748,9.52124393848392
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,7,"('e', 7)",ratio1,ratio2,date,time,treatment,rotation,0.01484914067472947,0.0,0.01484914067472947,0.009783176886601786,0.0,0.009783176886601786,0.005961326885385542,0.0,0.005961326885385542,0,0,0,0.009783176886601786,0.0,0.009783176886601786,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,e,6,"('e', 6)",ratio1,ratio2,date,time,treatment,rotation,8.121654996817313,2.6513965626989178,5.470258434118396,5.350854247144143,1.7468405840854522,3.604013663058691,3.260514621478926,1.0644280338682852,2.196086587610641,3.789329610477188,1.2370650450049447,2.552264565472243,5.350854247144143,1.7468405840854522,3.604013663058691,3.789329610477188,1.2370650450049447,2.552264565472243
